CD_CONTA;DS_CONTA;2019;2020;2021;2022;2023;2024
6.01;Caixa Líquido Atividades Operacionais;3749394.0000000000;-6512364.0000000000;2853204.0000000000;3840872.0000000000;2827132.0000000000;5532441.0000000000
6.01.01;Caixa Gerado nas Operações;138420.0000000000;-781840.0000000000;368243.0000000000;1972759.0000000000;2310190.0000000000;5819306.0000000000
6.01.01.01;Lucro (prejuízo) do exercício;;;;-1047213.0000000000;784355.0000000000;
6.01.01.01;Lucro do exercício;;;;;784355.0000000000;1923831.0000000000
6.01.01.01;Lucro líquido (Prejuízo) do exercício;-1294086.0000000000;-3596233.0000000000;-267618.0000000000;-1047213.0000000000;;
6.01.01.02;Depreciações do imobilizado;450268.0000000000;859858.0000000000;;;;
6.01.01.02;Depreciações do imobilizado e direito de uso;;859858.0000000000;658526.0000000000;550660.0000000000;;
6.01.01.02;Despesas com depreciação e amortização;;;;1085766.0000000000;1202053.0000000000;1331819.0000000000
6.01.01.03;Amortizações do intangível;380741.0000000000;688259.0000000000;467800.0000000000;535106.0000000000;;
6.01.01.03;Realização subsídios governamentais;;;;-2712.0000000000;0.0000000000;0.0000000000
6.01.01.04;Realização contribuição de parceiros;-89751.0000000000;-44347.0000000000;-54690.0000000000;-108937.0000000000;-147596.0000000000;-168010.0000000000
6.01.01.05;Perda por obsolescência dos estoques;81499.0000000000;90368.0000000000;-311459.0000000000;-146027.0000000000;;
6.01.01.05;Transação EVEX;;;;1210983.0000000000;0.0000000000;0.0000000000
6.01.01.06;Ajuste valor de mercado, inventário, imobilizado e intangível;413351.0000000000;24561.0000000000;-114783.0000000000;;;
6.01.01.06;Ajuste valor justo, inventário, imobilizado e intangível;;;-114783.0000000000;58872.0000000000;;
6.01.01.06;Perda (ganho) na participação acionária;;;;-7248.0000000000;29290.0000000000;0.0000000000
6.01.01.07;Ajuste valor de mercado - ativos financeiros;;15152.0000000000;-196566.0000000000;;;
6.01.01.07;Ajuste valor justo - ativos financeiros;;;-196566.0000000000;-8896.0000000000;;
6.01.01.07;Perda (reversão) em créditos de liquidação duvidosa;-12317.0000000000;169602.0000000000;;;;
6.01.01.07;Perda (reversão) por redução ao valor recuperável dos estoques;;;;;-24462.0000000000;36457.0000000000
6.01.01.07;Reversão por redução ao valor recuperável dos estoques;;;;-87155.0000000000;-24462.0000000000;
6.01.01.08;Ajuste valor justo - ativos financeiros;;;;-8896.0000000000;-3211.0000000000;101230.0000000000
6.01.01.08;Imposto de renda e contribuição social diferidos;159956.0000000000;404449.0000000000;;;;
6.01.01.08;Provisão (reversão) de perdas de crédito esperadas;;169602.0000000000;-68256.0000000000;;;
6.01.01.08;Reversão (perda) por redução ao valor recuperável de contas a receber, financiamento a clientes e at;;;-68256.0000000000;84749.0000000000;;
6.01.01.09;(Reversão) perda de crédito esperada;;;;84749.0000000000;-48999.0000000000;
6.01.01.09;Imposto de Renda e Contribuição Social Diferidos;;404449.0000000000;220235.0000000000;;;
6.01.01.09;Imposto de renda e contribuição social diferidos;;;220235.0000000000;-458400.0000000000;;
6.01.01.09;Juros sobre empréstimos;11536.0000000000;148603.0000000000;;;;
6.01.01.09;Perda (reversão) de crédito esperada;;;;;-48999.0000000000;121576.0000000000
6.01.01.10;Equivalência patrimonial;971.0000000000;-12709.0000000000;;;;
6.01.01.10;Juros sobre empréstimos;;148603.0000000000;124143.0000000000;1006740.0000000000;;
6.01.01.10;Perda (ganho) na alienação de ativo permanente;;;;209598.0000000000;-142485.0000000000;35263.0000000000
6.01.01.11;Equivalência Patrimonial;;-12709.0000000000;-5440.0000000000;-41756.0000000000;;
6.01.01.11;Imposto de renda e contribuição social;;;;-458400.0000000000;-225494.0000000000;1185100.0000000000
6.01.01.11;Remuneração em ações;0.0000000000;0.0000000000;;;;
6.01.01.12;Juros sobre empréstimos;;;;1006740.0000000000;946910.0000000000;938171.0000000000
6.01.01.12;Remuneração em ações;;0.0000000000;0.0000000000;15446.0000000000;;
6.01.01.12;Variação monetária e cambial;-35753.0000000000;397876.0000000000;;;;
6.01.01.13;Juros sobre títulos e valores mobiliários;;;;-50644.0000000000;-35215.0000000000;-98541.0000000000
6.01.01.13;Marcação a mercado das garantias de valor residual;16711.0000000000;-45983.0000000000;;;;
6.01.01.13;Variação monetária e cambial;;397876.0000000000;-114081.0000000000;-119391.0000000000;;
6.01.01.14;Equivalência patrimonial;;;;-41756.0000000000;-49981.0000000000;23635.0000000000
6.01.01.14;Marcação a mercado das garantias de valor residual;;-45983.0000000000;-280668.0000000000;0.0000000000;;
6.01.01.14;Provisão para penalidades;0.0000000000;0.0000000000;;;;
6.01.01.15;Ganho (perda) na alienação de ativo permanente;;;173487.0000000000;209598.0000000000;;
6.01.01.15;Perda na alienação de ativo permanente;109824.0000000000;74476.0000000000;;;;
6.01.01.15;Provisão para penalidades;;0.0000000000;0.0000000000;;;
6.01.01.15;Variação monetária e cambial;;;;-119391.0000000000;35371.0000000000;47455.0000000000
6.01.01.16;Juros sobre Títulos e Valores Mobiliários, Líquidos;;;-12886.0000000000;-50644.0000000000;;
6.01.01.16;Juros sobre títulos e valores mobiliários, líquidos;-121097.0000000000;-1744.0000000000;;;;
6.01.01.16;Perda na alienação de ativo permanente;;74476.0000000000;173487.0000000000;;;
6.01.01.16;Provisões diversas;;;;198271.0000000000;-34868.0000000000;314349.0000000000
6.01.01.17;Juros sobre títulos e valores mobiliários, líquidos;;-1744.0000000000;-12886.0000000000;;;
6.01.01.17;Participação dos não-controladores;;;;93558.0000000000;0.0000000000;0.0000000000
6.01.01.17;Realização Subsídios Governamentais;;;-16356.0000000000;-2712.0000000000;;
6.01.01.17;Realização subsídios governamentais;-8421.0000000000;-24551.0000000000;;;;
6.01.01.18;Outros;;;;15446.0000000000;24522.0000000000;26971.0000000000
6.01.01.18;Plano de demissão voluntária;0.0000000000;0.0000000000;;;;
6.01.01.18;Provisões Diversas;;;174058.0000000000;198271.0000000000;;
6.01.01.18;Realização subsídios governamentais;;-24551.0000000000;-16356.0000000000;;;
6.01.01.19;Participação dos não-controladores e Ganho e perda na participação acionária;;;-7203.0000000000;86310.0000000000;;
6.01.01.19;Provisões Diversas;89724.0000000000;104734.0000000000;174058.0000000000;;;
6.01.01.20;Outros;-14736.0000000000;-19059.0000000000;-7203.0000000000;;;
6.01.01.20;Transação EVEX;;;0.0000000000;1210983.0000000000;;
6.01.02;Variações nos Ativos e Passivos;3610974.0000000000;-5730524.0000000000;2484961.0000000000;1868113.0000000000;516942.0000000000;-286865.0000000000
6.01.02.01;Investimentos financeiros;1932846.0000000000;-2847841.0000000000;-260436.0000000000;919685.0000000000;16067.0000000000;-649344.0000000000
6.01.02.02;Instrumentos financeiros derivativos;16428.0000000000;-15949.0000000000;27544.0000000000;-29894.0000000000;101617.0000000000;-142693.0000000000
6.01.02.03;Contas a receber;;;82564.0000000000;9217.0000000000;-22420.0000000000;-913134.0000000000
6.01.02.03;Contas a receber e contas a receber vinculadas;816815.0000000000;229625.0000000000;82564.0000000000;;;
6.01.02.04;Financiamento a clientes;4273.0000000000;-268211.0000000000;63319.0000000000;-458938.0000000000;32889.0000000000;134368.0000000000
6.01.02.05;Ativos de contrato;-562415.0000000000;165929.0000000000;-626673.0000000000;390694.0000000000;-39884.0000000000;-535042.0000000000
6.01.02.06;Estoques;829313.0000000000;140538.0000000000;2593611.0000000000;-1488789.0000000000;-1572458.0000000000;-1357756.0000000000
6.01.02.07;Depósitos em Garantia;1442929.0000000000;-3621.0000000000;21703.0000000000;0.0000000000;;
6.01.02.07;Outros ativos;;;;81944.0000000000;-560199.0000000000;-245720.0000000000
6.01.02.08;Fornecedores e Fornecedores - Acordos de financiamento;;;;;253197.0000000000;985592.0000000000
6.01.02.08;Fornecedores e Fornecedores - Risco Sacado;;;;1274958.0000000000;253197.0000000000;
6.01.02.08;Outros ativos;34193.0000000000;-349756.0000000000;-202002.0000000000;81944.0000000000;;
6.01.02.09;Contas a pagar;;;;8762.0000000000;368035.0000000000;92662.0000000000
6.01.02.09;Fornecedores;-172345.0000000000;-1558453.0000000000;-47947.0000000000;1207636.0000000000;;
6.01.02.10;Dívida com e sem direito de regresso;-1330006.0000000000;-19626.0000000000;;;;
6.01.02.10;Fornecedores - Risco sacado;;0.0000000000;80758.0000000000;67322.0000000000;;
6.01.02.10;Passivos de contrato;;;;2334456.0000000000;2911413.0000000000;4139550.0000000000
6.01.02.11;Contas a pagar;-119702.0000000000;-196700.0000000000;;;;
6.01.02.11;Dívida com e sem Direito de Regresso;;-19626.0000000000;-21748.0000000000;0.0000000000;;
6.01.02.11;Impostos a recolher;;;;189361.0000000000;487847.0000000000;-314941.0000000000
6.01.02.12;Contas a pagar;;-196700.0000000000;-203800.0000000000;8762.0000000000;;
6.01.02.12;Contribuição de parceiros;17365.0000000000;0.0000000000;;;;
6.01.02.12;Garantias financeiras;;;;-81528.0000000000;-15602.0000000000;0.0000000000
6.01.02.13;Adiantamentos de clientes;0.0000000000;0.0000000000;;;;
6.01.02.13;Contribuição de parceiros;;0.0000000000;0.0000000000;0.0000000000;;
6.01.02.13;Receitas diferidas;;;;-73847.0000000000;13801.0000000000;20463.0000000000
6.01.02.14;Adiantamentos de clientes;;0.0000000000;0.0000000000;;;
6.01.02.14;IR e CS pagos;;;;-260317.0000000000;-598205.0000000000;-569343.0000000000
6.01.02.14;Impostos a Recolher;;;125132.0000000000;189361.0000000000;;
6.01.02.14;Impostos a recolher;18541.0000000000;-265435.0000000000;;;;
6.01.02.15;Garantias Financeiras;-62416.0000000000;-31585.0000000000;-300868.0000000000;-81528.0000000000;;
6.01.02.15;Impostos a recolher;;-265435.0000000000;3643.0000000000;;;
6.01.02.15;Juros pagos;;;;-947651.0000000000;-859156.0000000000;-931527.0000000000
6.01.02.16;Garantias Financeiras;;-31585.0000000000;-300868.0000000000;;;
6.01.02.16;Receitas Diferidas;-27189.0000000000;-16243.0000000000;76960.0000000000;-73847.0000000000;;
6.01.02.17;Passivos de Contrato;772344.0000000000;-693196.0000000000;1198333.0000000000;2334456.0000000000;;
6.01.02.17;Receitas Diferidas;;-16243.0000000000;76960.0000000000;;;
6.01.02.18;Juros pagos;;;-1119287.0000000000;-947651.0000000000;;
6.01.02.18;Passivos de Contrato;;-693196.0000000000;1198333.0000000000;;;
6.01.02.19;IR e CS pagos;;;-121489.0000000000;-260317.0000000000;;
6.01.03;Outros;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
6.02;Caixa Líquido Atividades de Investimento;1588652.0000000000;-943297.0000000000;-790111.0000000000;-594629.0000000000;-2249964.0000000000;-3214108.0000000000
6.02.01;Aquisições de imobilizado;-1129777.0000000000;-523489.0000000000;-549841.0000000000;-701867.0000000000;-1187613.0000000000;-1068625.0000000000
6.02.02;Baixa de imobilizado;294.0000000000;59161.0000000000;19608.0000000000;28318.0000000000;95682.0000000000;68873.0000000000
6.02.03;Adições ao intangível;-1121620.0000000000;-629062.0000000000;-906103.0000000000;-617222.0000000000;-954989.0000000000;-1445222.0000000000
6.02.04;Adições investimentos em subsidiárias e coligadas;-9436.0000000000;-9347.0000000000;-3978.0000000000;-2018.0000000000;;
6.02.04;Adições investimentos em subsidiárias e coligadas, líquido do caixa adquirido;;;;-2018.0000000000;-124305.0000000000;-95405.0000000000
6.02.05;Aquisição de subsidiária líquido do caixa adquirido;0.0000000000;-20891.0000000000;0.0000000000;;;
6.02.05;Baixa investimentos em subsidiárias e coligadas;;;;0.0000000000;0.0000000000;0.0000000000
6.02.05;Investimentos Financeiros;;;664734.0000000000;-90316.0000000000;;
6.02.06;Aquisição de investimentos financeiros;;;;;-594173.0000000000;-1450874.0000000000
6.02.06;Caixa Restrito para Construção de Ativos;;;-1629.0000000000;0.0000000000;;
6.02.06;Investimentos Financeiros;3848973.0000000000;177834.0000000000;664734.0000000000;;;
6.02.06;Investimentos financeiros;;;;-90316.0000000000;-14269.0000000000;
6.02.07;Alienação de investimento;;;0.0000000000;784028.0000000000;201865.0000000000;
6.02.07;Alienação de investimentos financeiros;;;;;579904.0000000000;476791.0000000000
6.02.07;Caixa Restrito para Construção de Ativos;0.0000000000;0.0000000000;-1629.0000000000;;;
6.02.08;Alienação de investimento;;;;;201865.0000000000;0.0000000000
6.02.08;Alteração na participação em subsidiárias e coligadas;;0.0000000000;-21656.0000000000;;;
6.02.08;Dividendos Recebidos;;;8754.0000000000;4448.0000000000;;
6.02.08;Emprestimos concedidos;;;;0.0000000000;-296510.0000000000;
6.02.08;Empréstimos com Entidade Controlada em Conjunto;0.0000000000;0.0000000000;;;;
6.02.09;Alteração na participação em subsidiárias e coligadas;;;-21656.0000000000;0.0000000000;;
6.02.09;Dividendos Recebidos;218.0000000000;2497.0000000000;8754.0000000000;;;
6.02.09;Dividendos recebidos;;;;4448.0000000000;30175.0000000000;
6.02.09;Recebimento (concessão) de empréstimos;;;;;-296510.0000000000;297483.0000000000
6.02.10;Dividendos recebidos;;;;;30175.0000000000;2871.0000000000
6.03;Caixa Líquido Atividades de Financiamento;-1026415.0000000000;5241843.0000000000;-2379941.0000000000;-3374198.0000000000;-1723124.0000000000;-1911350.0000000000
6.03.01;Empréstimos obtidos;;;;;9926131.0000000000;4216459.0000000000
6.03.01;Novos financiamentos obtidos;1534135.0000000000;10875429.0000000000;337889.0000000000;766111.0000000000;9926131.0000000000;
6.03.02;Financiamentos pagos;-2514539.0000000000;-5588521.0000000000;-2648282.0000000000;-4872130.0000000000;-11561264.0000000000;-6375637.0000000000
6.03.03;Aumento de capital;;;;0.0000000000;46902.0000000000;0.0000000000
6.03.03;Dividendos e juros sobre capital próprio;-7304.0000000000;0.0000000000;0.0000000000;;;
6.03.03;Recebimento na oferta de ações de controlada;;;0.0000000000;1029968.0000000000;;
6.03.04;Custos na oferta de ações de controlada;;;0.0000000000;-237273.0000000000;;
6.03.04;Dividendos e juros sobre capital próprio;;;;0.0000000000;-66646.0000000000;0.0000000000
6.03.04;Recebimento de opções de ações exercidas;8572.0000000000;1429.0000000000;0.0000000000;;;
6.03.05;Aquisição de ações próprias;0.0000000000;0.0000000000;;;;
6.03.05;Recebimento na oferta de ações de controlada;;;;1029968.0000000000;0.0000000000;363608.0000000000
6.03.05;Recompra de ações;;0.0000000000;-13479.0000000000;0.0000000000;;
6.03.06;Custos na oferta de ações de controlada;;;;-237273.0000000000;0.0000000000;-13061.0000000000
6.03.06;Pagamentos de arrendamentos;-47279.0000000000;-46494.0000000000;-56069.0000000000;-60874.0000000000;;
6.03.07;Pagamentos de arrendamentos;;;;-60874.0000000000;-68247.0000000000;-102719.0000000000
6.04;Variação Cambial s/ Caixa e Equivalentes;26970.0000000000;2698318.0000000000;791170.0000000000;-659214.0000000000;-453811.0000000000;1398210.0000000000
6.05;Aumento (Redução) de Caixa e Equivalentes;4338601.0000000000;484500.0000000000;474322.0000000000;-787169.0000000000;-1599767.0000000000;1805193.0000000000
6.05.01;Saldo Inicial de Caixa e Equivalentes;4963041.0000000000;9301642.0000000000;9786142.0000000000;10260464.0000000000;9473295.0000000000;7873528.0000000000
6.05.02;Saldo Final de Caixa e Equivalentes;9301642.0000000000;9786142.0000000000;10260464.0000000000;9473295.0000000000;7873528.0000000000;9678721.0000000000
